12 96
	0	0	15.0
	0	2	-4.0
	0	3	3.0
	0	4	-2.0
	0	5	1.0
	0	10	-4.0
	1	1	23.0
	1	2	3.0
	1	3	-6.0
	1	4	-1.0
	1	5	4.0
	1	11	-19.0
	2	0	-4.0
	2	1	3.0
	2	2	15.0
	2	4	-4.0
	2	6	-2.0
	2	7	-1.0
	2	8	-4.0
	2	9	-3.0
	2	10	-2.0
	2	11	1.0
	3	0	3.0
	3	1	-6.0
	3	3	23.0
	3	5	-19.0
	3	6	1.0
	3	7	4.0
	3	8	-3.0
	3	9	-6.0
	3	10	-1.0
	3	11	4.0
	4	0	-2.0
	4	1	-1.0
	4	2	-4.0
	4	4	15.0
	4	6	-4.0
	4	7	3.0
	4	8	-2.0
	4	9	1.0
	4	10	-4.0
	4	11	-3.0
	5	0	1.0
	5	1	4.0
	5	3	-19.0
	5	5	23.0
	5	6	3.0
	5	7	-6.0
	5	8	-1.0
	5	9	4.0
	5	10	-3.0
	5	11	-6.0
	6	2	-2.0
	6	3	1.0
	6	4	-4.0
	6	5	3.0
	6	6	7.0
	6	7	-3.0
	6	8	-2.0
	6	9	-1.0
	7	2	-1.0
	7	3	4.0
	7	4	3.0
	7	5	-6.0
	7	6	-3.0
	7	7	11.0
	7	8	1.0
	7	9	-9.0
	8	2	-4.0
	8	3	-3.0
	8	4	-2.0
	8	5	-1.0
	8	6	-2.0
	8	7	1.0
	8	8	7.0
	8	9	3.0
	9	2	-3.0
	9	3	-6.0
	9	4	1.0
	9	5	4.0
	9	6	-1.0
	9	7	-9.0
	9	8	3.0
	9	9	11.0
	10	0	-4.0
	10	2	-2.0
	10	3	-1.0
	10	4	-4.0
	10	5	-3.0
	10	10	15.0
	11	1	-19.0
	11	2	1.0
	11	3	4.0
	11	4	-3.0
	11	5	-6.0
	11	11	23.0
