12 37 0 5400 -5 1936 4118 4817 2881 2182 4118 4425 2489 2182 0 1936 3566 1630 0 1078 3014 1936 2983 1047 1354 307 2489 -14 2881 699 2635 4817 -19 4425 2243 2942 2635 1936 2669 733 1370 37 0.01101362199999989
45 37 -269 -29 1988 3951 5851 3888 5559 3659 5622 7467 8528 6857 7845 6784 8455 9149 8161 7467 8455 9112 9553 8896 8455 8461 7473 7467 8124 9112 7441 8135 7478 9149 7304 7961 7267 9112 7149 7843 1370 37 0.010456041000000083
74 37 -39 2844 4984 6745 7972 8178 7781 7575 7972 6211 7769 7975 7578 7372 7769 6542 7490 7093 7299 6351 8112 7906 6348 7622 5861 7419 7625 6351 7578 6020 7781 6554 8112 5972 7246 7040 5766 7906 1370 37 0.01084598899999989
181 37 0 4023 -14 1876 3659 1783 3284 1501 3377 1876 3293 1417 3200 1783 2765 982 2858 1876 2911 1035 0 1876 2771 895 2678 1783 0 1798 -3 1876 1960 84 0 1501 2918 1417 2399 982 1370 37 0.010521301999999899
190 37 0 5801 -4 2499 3627 4533 3405 2499 3058 4186 3627 4081 2953 2499 0 1128 3627 -11 -4 -23 2953 454 1582 4081 -14 4186 1687 1128 2034 4533 -18 4081 -30 -11 -7 5801 -19 454 1370 37 0.01080757500000007
223 37 0 2982 -13 67 0 2276 -4 67 -14 -1 0 -7 -20 67 -30 -17 0 -19 -32 67 -41 -28 0 -28 -57 2276 -29 2982 -39 -1 -30 2276 -36 -7 -45 2982 -55 -17 1370 37 0.010499521999999928
323 37 0 2543 -7 937 1433 496 0 937 -16 -9 0 -10 -17 937 -19 -12 0 -13 -20 937 -21 -14 0 -17 -24 937 -24 -31 1433 -14 -7 2543 -28 -9 -16 496 -7 -35 1370 37 0.01019199500000001
339 37 0 8849 -13 187 2479 4550 4363 5834 3763 3950 2479 4342 4155 2292 4363 2071 3934 5571 7042 5405 6085 4614 4801 4121 5758 5571 3708 5179 7042 4971 5158 3687 5758 3895 5366 5179 3542 5834 1370 37 0.010374707999999844
345 37 0 18616 -1 1432 1583 1693 1542 1432 0 151 1583 -5 -1 -4 1542 110 261 1693 -8 -4 -3 18616 -4 151 261 -7 -3 110 0 -10 -11 1432 -12 -11 0 -24 -25 1432 1370 37 0.010155024999999984
425 37 0 3663 -18 499 2918 2419 0 2423 -15 499 0 1910 -11 499 -22 -4 0 -10 -28 499 -28 -63 2918 -46 -11 -61 -15 -50 2918 -53 -18 -64 -11 -68 -22 -57 2918 -63 1370 37 0.010137667000000183
540 37 -110 1316 1994 1355 3786 6054 5377 6885 6207 4699 6113 3845 5353 3939 6207 3776 6143 4635 5772 3504 4507 5185 4182 4397 3719 3504 4182 4279 3601 3504 2367 4798 5476 3109 5377 6710 6032 4699 1370 37 0.010088015999999866
553 37 0 4265 -2 1374 2867 3029 1655 1493 2867 -1 2341 1493 0 1374 2222 848 2341 -8 1655 162 1536 3029 -10 -1 2222 -3 1536 1374 1615 241 0 848 -1 162 0 -2 -4 1374 1370 37 0.009877697000000074
585 37 0 3556 -5 1814 4256 2442 3211 769 2583 3576 2807 1814 2784 3553 3898 3129 2784 3129 2159 2928 2583 3553 1739 2084 1315 3129 -5 3553 -3 2867 2784 970 1963 993 2807 -1 2784 -12 1370 37 0.01012783599999989
661 37 0 3645 -3 1367 0 -2 -5 1367 -6 -3 0 -4 -7 1367 -9 -6 0 -7 -10 1367 -16 -13 0 -14 -17 1367 -18 -15 0 -40 -43 1367 -51 -48 0 -68 -71 1367 1370 37 0.010059204000000044
724 37 -151 5585 3896 5420 6206 6362 5576 5603 5447 6233 6206 4682 5828 5984 6011 5855 5828 5042 5270 4124 4910 5613 5769 5541 5568 5412 5640 5613 5385 5541 4838 6362 4554 6706 7852 7696 7723 6937 1370 37 0.010216223000000024
