1 28 54418 718 6 858 2257 4040 187 2973 4168 543 1292 1080 1474 2926 599 3006 1210 302 2840 4279 2284 1344 4505 4752 3081 4885 2826 145 442 140 3878 2734 2568 3297 2347 3652 999 2427 3049 445 2005 2713 441 3999 3509 2529 1481 3449 159 3282 4677 2597 1667 648 149 4260 3352
2 28 56253 2856 2739 1750 944 3006 4887 3198 3950 830 4681 293 4161 4144 347 1766 1466 3270 3702 810 4385 2648 1171 983 3372 1707 1487 4270 2745 4715 3141 4768 4776 1065 2936 4310 2674 4161 991 1076 4754 2134 2958 334 1725 356 1349 3246 3168 3539 3502 1240 430 4810 2385 3032 3713
3 28 60505 3908 3753 3454 1533 3537 4061 230 2238 3716 760 689 2711 3461 3900 2328 4334 3610 2692 1660 989 3099 1750 4522 1577 873 3840 537 1647 684 2355 2855 1521 3409 4090 3699 506 4746 3329 236 1608 4906 1895 3975 1094 500 3211 1958 1303 4662 2512 1563 4637 4631 2579 2184 3360
4 28 62508 4717 4828 1036 1007 2874 4001 3846 3870 3651 340 4195 1138 3085 2419 508 3879 3861 687 4429 3862 4526 480 4329 3193 2044 2764 920 1299 2059 801 3139 809 3770 1339 1906 4434 3953 3979 3024 322 494 2380 938 4519 2787 3916 3169 3458 2375 4356 1994 3843 657 3665 3849 2929
5 28 57859 1915 4740 1326 622 3185 2268 1318 3980 1414 2171 3376 216 4448 3223 2639 4592 1159 3172 3229 4384 1619 279 3297 851 2874 2881 4041 3285 1210 1713 570 2991 2507 4313 4899 3753 3206 4264 2929 1541 3489 4127 2355 1874 2148 1704 1401 4245 835 2892 4664 970 4948 3521 1323 2586
6 28 54236 2514 4850 4898 2285 4960 923 4554 4373 2764 2112 922 1159 1128 1496 2315 1112 2167 4718 1089 3882 2037 1222 4711 372 4541 1591 3314 4583 4293 828 400 1501 1932 3502 484 915 3547 2553 1402 4124 1891 3154 2694 4204 2295 4624 1767 50 335 4033 517 2794 1658 1802 2666 1113
7 28 47956 3154 785 1471 2641 1014 4905 1437 2250 3945 418 617 3921 833 2449 4001 4112 351 2398 257 4048 4106 2007 2336 2267 4285 4222 590 4950 3552 2011 4065 3071 2220 1279 1183 1827 1483 2028 1215 4634 4446 4733 3347 2489 1560 863 310 1124 1918 750 594 2541 4029 4346 1626 2487
8 28 51051 3941 2199 3501 4005 1921 3591 439 1369 595 2214 4948 1499 2861 547 1313 3019 2003 1170 4394 1886 4700 1930 4806 3109 2306 2498 210 3292 36 4640 1211 1341 1646 1738 3383 4550 1476 1288 4966 1700 1583 488 18 4724 2836 3209 1597 4661 849 710 1415 2899 4590 4256 270 1442
9 28 47212 461 290 168 1265 4876 1565 1958 2992 74 1380 956 3728 4002 4475 5000 1620 26 3936 2145 4487 1892 1300 1045 3159 488 4815 1780 3298 33 1660 2142 3867 1577 1617 4906 4273 1 1033 4639 2681 2444 354 746 2662 3528 3904 4193 2784 1739 332 4815 3009 598 3865 2784 754
10 28 64837 4478 4373 2360 1926 1388 4180 2358 2504 1105 1601 3823 3648 966 701 3227 4331 4861 2959 4408 871 2955 2237 752 4418 3263 4519 2364 1507 4775 1878 4995 2973 3171 2405 3289 411 3363 3831 2950 820 4781 937 1137 1241 2620 860 2470 4802 2365 763 2100 824 2200 595 2523 2970
11 28 64212 1049 1925 4558 2144 2102 3836 598 4074 1807 3897 4601 3484 3164 4480 3995 842 4489 252 4251 3942 2073 2035 500 1877 3471 2193 4488 3616 1963 750 3680 4130 2679 4384 812 4791 577 4517 3986 13 3752 3986 2080 4324 4659 375 4573 1589 1187 3552 275 2062 4696 4671 4200 2973
12 28 49668 1000 1668 4096 1580 3438 4332 52 4299 17 1879 1163 1485 1481 802 3891 996 4513 3934 840 986 3282 2246 3910 4628 823 1970 1174 2054 458 2057 1485 294 3948 2042 2073 4775 960 2820 79 3987 4892 1399 3768 701 675 2150 1363 3129 4344 3966 4545 2566 2324 3753 1492 3688
13 28 53060 2715 4834 1742 3063 161 2297 4315 1577 4301 2878 182 664 2828 4663 2002 4283 4351 3439 2307 4466 3082 1010 910 2256 95 3577 2631 3146 2468 3373 2253 454 3095 2609 2054 1364 4621 2648 589 3840 1204 165 3619 522 2621 935 3893 2837 211 4883 2832 2556 4539 4771 704 3105
14 28 54632 2521 1822 2558 4655 1582 371 2961 877 643 3743 1777 1419 1078 2627 669 192 4342 2350 4243 3301 4625 4096 2282 3681 4165 4563 707 3915 3470 2526 1304 1149 1598 2289 1533 2575 4414 4520 180 2634 4565 1816 1149 321 3781 2847 4730 4059 3600 1178 1310 2179 649 3323 1854 4528
15 28 55113 2786 281 1903 19 2356 213 4376 1877 1819 2529 2321 3029 2141 923 3851 2509 1334 95 795 3292 4393 4241 332 1236 581 4188 4864 1302 2094 4340 4077 4736 2858 4489 3058 610 613 2319 1226 2698 2422 1656 284 3366 1542 827 1398 2848 4977 3435 1181 784 4364 3711 4946 3275
16 28 66698 2995 386 3259 2646 3465 779 2139 2469 3668 358 4230 1293 3571 4576 4056 4407 1858 1466 4835 1142 4824 2650 4495 2973 2306 402 1719 3260 3435 396 3377 279 3185 13 1611 2155 2754 119 1276 2591 3784 1787 97 3872 93 4093 3465 2839 3538 3199 4836 32 3261 4847 1241 590
17 28 59692 3035 467 3767 4955 410 1836 2865 4955 1873 4694 3239 2480 41 2578 500 4494 1439 3674 2282 4625 372 160 3100 2420 4716 1401 3675 4345 3568 2444 3818 119 2041 3607 2934 1498 2037 2884 4458 3839 667 2650 1571 3564 4894 655 3880 559 3150 3115 1929 3157 4651 3378 3704 667
