1 4 6871 718 6 858 2257 4040 187 2973 4168
2 4 3660 1292 1080 1474 2926 599 3006 1210 302
3 4 12208 4279 2284 1344 4505 4752 3081 4885 2826
4 4 7388 442 140 3878 2734 2568 3297 2347 3652
5 4 7667 2427 3049 445 2005 2713 441 3999 3509
6 4 6387 1481 3449 159 3282 4677 2597 1667 648
7 4 7032 4260 3352 847 2856 2739 1750 944 3006
8 4 6772 3198 3950 830 4681 293 4161 4144 347
9 4 8579 1466 3270 3702 810 4385 2648 1171 983
10 4 12368 1707 1487 4270 2745 4715 3141 4768 4776
11 4 9084 2936 4310 2674 4161 991 1076 4754 2134
12 4 5980 334 1725 356 1349 3246 3168 3539 3502
13 4 8348 430 4810 2385 3032 3713 2269 3908 3753
14 4 6873 1533 3537 4061 230 2238 3716 760 689
15 4 8847 3461 3900 2328 4334 3610 2692 1660 989
16 4 7051 1750 4522 1577 873 3840 537 1647 684
17 4 11767 2855 1521 3409 4090 3699 506 4746 3329
18 4 6246 1608 4906 1895 3975 1094 500 3211 1958
19 4 10432 4662 2512 1563 4637 4631 2579 2184 3360
20 4 9978 4717 4828 1036 1007 2874 4001 3846 3870
21 4 6220 340 4195 1138 3085 2419 508 3879 3861
22 4 12262 4429 3862 4526 480 4329 3193 2044 2764
23 4 3398 1299 2059 801 3139 809 3770 1339 1906
24 4 6727 3953 3979 3024 322 494 2380 938 4519
25 4 12458 3916 3169 3458 2375 4356 1994 3843 657
26 4 7619 3849 2929 313 1915 4740 1326 622 3185
27 4 8444 1318 3980 1414 2171 3376 216 4448 3223
28 4 9941 4592 1159 3172 3229 4384 1619 279 3297
29 4 6956 2874 2881 4041 3285 1210 1713 570 2991
30 4 11096 4313 4899 3753 3206 4264 2929 1541 3489
31 4 5391 2355 1874 2148 1704 1401 4245 835 2892
32 4 7672 970 4948 3521 1323 2586 1987 2514 4850
33 4 7754 2285 4960 923 4554 4373 2764 2112 922
34 4 5359 1128 1496 2315 1112 2167 4718 1089 3882
35 4 6214 1222 4711 372 4541 1591 3314 4583 4293
36 4 5090 400 1501 1932 3502 484 915 3547 2553
37 4 12884 4124 1891 3154 2694 4204 2295 4624 1767
38 4 4140 335 4033 517 2794 1658 1802 2666 1113
39 4 5660 3154 785 1471 2641 1014 4905 1437 2250
40 4 8720 418 617 3921 833 2449 4001 4112 351
41 4 8787 257 4048 4106 2007 2336 2267 4285 4222
42 4 9048 4950 3552 2011 4065 3071 2220 1279 1183
43 4 8392 1483 2028 1215 4634 4446 4733 3347 2489
44 4 4222 863 310 1124 1918 750 594 2541 4029
45 4 7954 1626 2487 2113 3941 2199 3501 4005 1921
46 4 7074 439 1369 595 2214 4948 1499 2861 547
47 4 6404 3019 2003 1170 4394 1886 4700 1930 4806
48 4 3010 2306 2498 210 3292 36 4640 1211 1341
49 4 7420 1738 3383 4550 1476 1288 4966 1700 1583
50 4 4240 18 4724 2836 3209 1597 4661 849 710
