1 1 574 718 6
2 1 1805 2257 4040
3 1 2378 2973 4168
4 1 1033 1292 1080
5 1 2340 2926 599
6 1 968 1210 302
7 1 3423 4279 2284
8 1 3604 4505 4752
9 1 3908 4885 2826
10 1 353 442 140
11 1 2187 2734 2568
12 1 1877 2347 3652
13 1 1941 2427 3049
14 1 1604 2005 2713
15 1 3199 3999 3509
16 1 1184 1481 3449
17 1 2625 3282 4677
18 1 1333 1667 648
19 1 3408 4260 3352
20 1 2284 2856 2739
21 1 755 944 3006
22 1 2558 3198 3950
23 1 3744 4681 293
24 1 3315 4144 347
25 1 1172 1466 3270
26 1 648 810 4385
27 1 936 1171 983
28 1 1365 1707 1487
29 1 2196 2745 4715
30 1 3814 4768 4776
31 1 2348 2936 4310
32 1 3328 4161 991
33 1 3803 4754 2134
34 1 267 334 1725
35 1 1079 1349 3246
36 1 2831 3539 3502
37 1 344 430 4810
38 1 2425 3032 3713
39 1 3126 3908 3753
40 1 1226 1533 3537
41 1 184 230 2238
42 1 608 760 689
43 1 2768 3461 3900
44 1 3467 4334 3610
45 1 1328 1660 989
46 1 1400 1750 4522
47 1 698 873 3840
48 1 1317 1647 684
49 1 2284 2855 1521
50 1 3272 4090 3699
