1 10 -311 -109 1345 2765 2762 3891 3286 5370 4633 5279 5282 4636 4633 3504 4241 5370 3950 4596 3859 5279 4150 4887 4241 4244 3507 4636 3216 3862 5282 4153 4150 3504 3507 4153 2733 3862 3859 3213 4633 2549 3691 2562 3208 2066 4150 2730 3859 1775 3195 5279 -11 5370 -19 4636 2552 3289 3935 3932 3286 3586 2849 3495 3498 3198 5282 -47 3935 3198 3803 3800 3195 3932 2803 4887 3467 4596 2512 3932 -9 3586 2457 3103 2803 3408 2762 2157 4241 2821 3950 3213 3216 2087 3507 1423 2565 2562 1420 3504 2084 3213 1129 1001 100 0.005398785999999989
2 10 -16 0 1357 -11 70 1284 1214 0 70 -28 -5 0 -29 -52 70 -39 -16 -66 1214 -38 1357 -106 -5 -55 1214 -79 -29 -130 1357 -117 -16 -134 -5 -147 -29 -158 -16 -169 -40 0 -42 -65 70 -63 -40 -90 1214 -92 -42 -143 1357 -141 -40 -158 -5 -160 -42 -171 -16 -210 -81 0 -113 -136 70 -104 -81 -131 1214 -163 -113 -214 1357 -182 -81 -199 -5 -231 -113 -242 -16 -1292 0 -1292 1357 -1292 0 -1292 1214 -1292 1284 -61 -11 -129 -28 -78 1284 -89 -39 -140 -11 1001 95 0.005271263999999887
3 10 -28 11231 11151 11226 10485 10565 10490 11231 10397 10472 10392 11226 10351 10431 10356 11231 9803 9878 9798 11226 9723 9803 9728 11231 9555 9630 9550 11226 9471 9551 9476 11231 8892 8967 8887 11226 -28 10565 9731 10472 9597 10431 9690 10565 9137 9878 9044 10472 8969 9803 9062 10565 8889 9630 8796 10472 8717 9551 8810 10565 8226 8967 8133 10472 -28 10431 9003 9878 8375 9803 8928 10431 8755 9630 8202 9878 8123 9551 8676 10431 8092 8967 7539 9878 -28 9803 8127 9630 7875 9551 8048 9803 7464 8967 7291 9630 -28 9551 7212 8967 -28 1001 100 0.005201703999999863
4 10 -5 11771 13457 14190 13604 12871 13457 12713 13446 14190 12504 11918 13604 12860 13446 11760 12504 11771 11185 12871 13045 12301 13034 12860 12127 12871 11020 11753 13604 11629 12215 14190 12339 12513 11927 11753 12339 11606 13457 11482 12215 12389 11803 11629 10896 12871 10790 11523 13604 11411 11997 14190 12109 11523 11697 10964 13045 11359 12092 11918 11185 11359 10615 12301 12887 12713 12127 12301 10450 11194 13045 11070 11803 11059 13034 11348 12092 10241 11927 11194 11780 12513 11769 11595 13446 11471 12215 10529 12504 10653 12339 11595 11009 12860 11174 11918 10067 11753 11009 11183 13034 1001 100 0.005040037999999969
5 10 -295 -56 10125 10303 9765 9587 11668 10601 11139 11317 10779 10946 10768 11306 11139 9516 10583 10045 11668 9513 10051 10229 9691 9513 9680 8613 10768 10601 11134 9511 10049 9516 9694 11317 9236 10303 8680 8502 10583 8428 10051 8984 11139 9058 10125 9587 8520 10601 10779 9156 9694 9861 9683 11306 9225 9403 9236 9769 9591 9058 9236 8698 10779 8624 9691 8068 8606 10229 9162 11317 8959 10026 9848 9310 11668 9284 9822 10000 9462 9284 9451 8384 10768 9145 9683 9516 8978 10601 8446 9513 7890 10045 8978 9511 7430 9053 11134 8979 9517 9695 9162 1001 100 0.0052296940000000625
6 10 -299 -58 7104 9058 7331 9189 9534 9749 9404 9189 7438 9165 9510 7783 9534 7765 7980 9749 7998 7783 8976 8631 7438 7783 7898 7553 7768 7653 9404 7635 7980 6229 7998 7653 9380 9165 7396 7741 9510 7653 7868 7523 9380 7611 7956 7741 6014 7783 5926 7677 9534 7676 7891 9749 7892 7677 9404 9059 9274 7547 9404 7546 7891 6140 7998 6141 7892 7547 7332 9189 7420 7765 6014 7207 8976 7119 7334 6989 6774 8631 6862 7207 7422 7077 6862 5669 7438 7653 5884 7635 7420 5669 7396 7611 5884 7077 5220 6989 5796 7653 5795 1001 100 0.005126703000000177
7 10 -187 9463 10641 10146 9385 10260 9436 9931 9056 9880 10641 9817 9322 10146 8968 9463 8702 9880 9385 10174 9350 8561 9436 8258 9082 10260 8914 9703 8879 8090 9436 7516 8340 10260 8310 9099 8275 7486 9436 7269 8093 10260 -7 9931 8753 9577 9082 8207 9385 8561 9322 8144 8968 8207 8996 10174 8828 9703 8525 7736 9082 7162 8340 8835 8011 9931 8585 9409 10170 9675 8914 9409 8534 9880 7960 8835 7657 9577 8702 8207 7383 8561 9056 9817 8639 9463 8117 9295 10641 8721 8226 10146 8800 9675 8851 9346 10170 9295 8800 9589 8828 1001 100 0.005201079000000108
8 10 -109 7863 10236 9986 9007 11323 9473 11461 12243 10255 10505 9723 11711 11461 9145 10995 11777 9927 12243 9912 10162 9380 11711 9395 11245 10995 9007 9789 11777 9446 9696 8914 11245 9257 10236 8386 10702 10452 9473 10255 7939 9927 10906 11156 10374 10124 10906 8918 9168 11156 10177 10295 10045 9927 10177 9395 10374 8386 9168 8189 10505 8174 10162 7846 10177 8189 10039 9789 7939 8918 8136 10452 8121 10109 9130 11461 9088 9870 12243 9790 10040 9258 11711 9338 9088 7100 9473 9723 10702 8371 8121 8903 7924 10255 7882 9870 7554 9927 9145 10124 10242 1001 100 0.005091425000000038
9 10 -9 0 2359 4457 2098 3778 5321 3641 5078 3535 5215 3778 1680 3223 5321 -50 5215 3117 1680 0 2098 3641 1543 3223 -33 3117 1437 3535 2098 2352 254 1797 1543 2980 5078 -50 -33 2980 1437 1691 254 0 1543 -32 2359 -26 1437 0 -9 -26 2098 -26 -77 3535 -4 2352 -10 3641 -49 4457 -43 3535 -77 -60 1437 -60 -9 -66 1543 -66 -83 3641 -83 -26 -136 3778 -63 2352 -113 4457 -102 3778 -136 -119 1680 -46 254 -96 2359 -85 1680 -119 -9 -130 254 -130 -147 2352 -147 -26 -186 1001 100 0.005349802000000015
10 10 -474 -247 -25 6044 6694 6289 8506 7856 8257 7587 9518 9117 9767 8385 8790 8140 7735 9117 7520 8190 8840 8170 9767 7836 8506 7124 7529 6879 6474 8405 7735 8385 8786 8136 9518 7921 8591 8190 6808 8405 6415 7797 8447 7777 9767 7550 7951 7301 9518 7528 8198 7797 7127 9117 7186 7856 6474 7124 7525 6875 8257 6660 8591 7209 7859 7458 8840 6909 8506 6516 8447 7065 7470 6820 6415 7065 7466 6816 8198 6601 8591 6374 7024 6623 8840 6850 8447 6230 6635 5985 5580 7797 6200 8190 6259 7856 5866 7797 -42 7532 8182 1001 100 0.005128511000000113
