1 16 27780 718 11 858 4063 4040 335 2973 7501 543 2324 1080 2652 2926 1077 3006 2177 302 5111 4279 4110 1344 8109 4752 5546 4885 5086 145 795 140 6981 2734 4622
2 16 27716 2347 6572 999 4368 3049 801 2005 4883 441 7198 3509 4551 1481 6208 159 5907 4677 4674 1667 1166 149 7667 3352 1524 2856 4929 1750 1699 3006 8796 3198 7109
3 16 37431 4681 528 4161 7458 347 3178 1466 5885 3702 1458 4385 4766 1171 1770 3372 3072 1487 7686 2745 8487 3141 8582 4776 1917 2936 7758 2674 7490 991 1937 4754 3841
4 16 33692 334 3104 356 2427 3246 5702 3539 6304 1240 774 4810 4293 3032 6683 2269 7035 3753 6217 1533 6366 4061 414 2238 6688 760 1240 2711 6229 3900 4190 4334 6498
5 16 33856 1660 1780 3099 3150 4522 2839 873 6911 537 2964 684 4239 2855 2738 3409 7362 3699 911 4746 5992 236 2894 4906 3411 3975 1970 500 5779 1958 2344 4662 4521
6 16 42941 4637 8336 2579 3931 3360 5739 4717 8690 1036 1812 2874 7201 3846 6965 3651 612 4195 2048 3085 4354 508 6982 3861 1236 4429 6951 4526 863 4329 5747 2044 4975
7 16 35171 1299 3705 801 5650 809 6786 1339 3431 4434 7115 3979 5443 322 890 2380 1689 4519 5016 3916 5704 3458 4274 4356 3589 3843 1182 3665 6928 2929 563 1915 8532
8 16 32752 622 5733 2268 2373 3980 2545 2171 6077 216 8005 3223 4749 4592 2085 3172 5812 4384 2913 279 5935 851 5174 2881 7274 3285 2177 1713 1025 2991 4512 4313 8819
9 16 35062 3206 7674 2929 2773 3489 7428 2355 3372 2148 3068 1401 7641 835 5205 4664 1745 4948 6337 1323 4654 1987 4525 4850 8816 2285 8928 923 8197 4373 4975 2112 1659
10 16 30356 1128 2692 2315 2001 2167 8492 1089 6987 2037 2199 4711 668 4541 2864 3314 8250 4293 1489 400 2701 1932 6304 484 1646 3547 4594 1402 7423 1891 5678 2694 7567
11 16 25196 4624 3181 50 603 4033 930 2794 2984 1802 4799 1113 4031 3154 1413 1471 4754 1014 8828 1437 4049 3945 752 617 7057 833 4408 4001 7401 351 4316 257 7286
12 16 32636 2007 4205 2267 7713 4222 1062 4950 6393 2011 7316 3071 3995 1279 2130 1827 2668 2028 2186 4634 8002 4733 6024 2489 2807 863 557 1124 3452 750 1069 2541 7252
13 16 28853 1626 4476 2113 7093 2199 6301 4005 3458 3591 790 1369 1070 2214 8906 1499 5150 547 2364 3019 3606 1170 7908 1886 8460 1930 8651 3109 4151 2498 377 3292 65
14 16 25180 1211 2414 1646 3128 3383 8190 1476 2319 4966 3060 1583 879 18 8503 2836 5775 1597 8389 849 1278 1415 5217 4590 7661 270 2595 4081 829 290 302 1265 8777
15 16 22420 1958 5385 74 2484 956 6711 4002 8055 5000 2916 26 7085 2145 8075 1892 2340 1045 5686 488 8666 1780 5937 33 2988 2142 6961 1577 2910 4906 7691 1 1860
16 16 29458 2681 4399 354 1342 2662 6350 3904 7547 2784 3129 332 8666 3009 1075 3865 5011 754 5685 4478 7871 2360 3467 1388 7524 2358 4507 1105 2882 3823 6566 966 1262
17 16 28958 4331 8749 2959 7933 871 5319 2237 1353 4418 5874 4519 4255 1507 8594 1878 8990 2973 5707 2405 5921 411 6054 3831 5310 820 8605 937 2046 1241 4716 860 4446
18 16 33242 2365 1373 2100 1482 2200 1070 2523 5345 1454 1887 1925 8204 2144 3783 3836 1075 4074 3251 3897 8282 3484 5695 4480 7191 842 8080 252 7651 3942 3732 2035 899
19 16 37662 3471 3947 4488 6508 1963 1350 3680 7433 2679 7891 812 8623 577 8131 3986 22 3752 7174 2080 7783 4659 675 4573 2860 1187 6394 275 3711 4696 8407 4200 5351
20 16 25298 1000 3003 4096 2843 3438 7797 52 7738 17 3382 1163 2672 1481 1443 3891 1793 4513 7081 840 1775 3282 4043 3910 8330 823 3545 1174 3698 458 3702 1485 528
21 16 35127 2042 3731 4775 1727 2820 142 3987 8805 1399 6783 701 1215 2150 2454 3129 7818 3966 8181 2566 4183 3753 2686 3688 3217 2715 8701 1742 5514 161 4135 4315 2838
