186 40 1575 3545 1970 4018 5414 3444 2048 4018 -12 3216 2048 0 5288 -22 1396 3444 5414 4018 2048 3444 -11 3216 2048 0 5288 -22 1396 3444 5414 4018 2048 3444 -11 3216 2048 0 5288 -22 1396 3444 5414 1601 21 0.013675349999999975
217 40 0 25785 -1 1719 2904 1185 0 1719 2100 381 0 25785 -1 1719 2904 1185 0 1719 2100 381 0 25785 -1 1719 2904 1185 0 1719 2100 381 0 25785 -1 1719 2904 1185 0 1719 2100 381 0 1601 10 0.013392300999999884
306 40 -14 1288 3189 1901 4391 6171 4270 2490 4391 -9 3350 2490 3813 1323 3628 2305 4206 5986 4085 4945 3165 2305 4085 1780 4270 6171 4391 2490 4270 -1 3350 2490 3813 1323 3628 2305 4206 5986 4085 4945 3165 1601 30 0.013283718000000055
355 40 0 3485 -4 1193 2883 1690 0 1383 -2 1193 2556 1363 0 3485 -4 1193 2883 1690 0 1383 -2 1193 2556 1363 0 3485 -4 1193 2883 1690 0 1383 -2 1193 2556 1363 0 3485 -4 1193 2883 1601 12 0.012969519999999957
433 40 1068 3017 4941 3873 5691 7410 7645 5926 7088 6853 5691 5926 4108 5827 7645 7410 5691 3873 5592 7410 5486 5721 7645 7410 5691 6853 7088 5926 7645 5827 6989 6754 5592 7410 7645 5721 5486 7410 5691 6853 7088 1601 33 0.013337675000000049
500 40 -386 -14 527 2958 3636 3971 4186 3851 3636 3733 3206 5474 5809 5712 7220 6885 6207 6542 7220 4952 6285 5950 5272 5607 6285 4777 7045 6710 6032 6367 7045 5712 7220 6885 6207 6542 7220 4952 6285 5950 5272 1601 31 0.01279363
583 40 0 3519 -12 948 3155 2207 2321 114 1487 1373 2321 948 3155 2207 2321 114 1487 1373 2321 948 3155 2207 2321 114 1487 1373 2321 948 3155 2207 2321 114 1487 1373 2321 948 3155 2207 2321 114 1487 1601 11 0.012368670999999942
692 40 0 4000 -10 526 2526 2000 0 1622 -9 526 0 4000 -10 526 2526 2000 0 1622 -9 526 0 4000 -10 526 2526 2000 0 1622 -9 526 0 4000 -10 526 2526 2000 0 1622 -9 526 0 1601 10 0.012640425999999927
776 40 0 7950 -6 109 1699 2748 2639 1590 1905 2014 1699 1590 0 7950 -6 109 1699 2748 2639 1590 1905 2014 1699 1590 0 7950 -6 109 1699 2748 2639 1590 1905 2014 1699 1590 0 7950 -6 109 1699 1601 12 0.012813713000000115
801 40 0 2980 -10 432 2277 2633 2201 1845 2719 874 1529 1961 1306 1662 1230 1339 983 1415 1306 1615 1183 874 2719 1845 2500 655 1529 1961 1306 1662 1230 1339 983 1415 1306 1615 1183 874 2719 1845 2500 1601 26 0.012195066000000088
864 40 0 1990 -14 328 0 1734 -10 328 -6 335 0 1990 -14 328 0 1734 -10 328 -6 335 0 1990 -14 328 0 1734 -10 328 -6 335 0 1990 -14 328 0 1734 -10 328 -6 335 0 1601 10 0.01245075700000009
