2,8,11,1,1,9,0,0,0,0,0,0
0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0.7,0.0,0.5809475019,11,1,-1,0,-1,0,1,1,0,1,62,3,0.4,0.7584918703,0.3826225294,2.6457513111,0.3,0.4,0.0,2,6,7,0,10,2,16,6,3,4,9,0,1,0,0,1,1
1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0.7,0.2,0.6139014579,10,1,-1,0,1,11,1,1,0,1,99,2,0.316227766,0.6164916735,0.3687817783,2.8284271247,0.1,0.9,0.3,1,2,9,3,11,2,8,4,2,4,7,0,1,0,0,0,0
0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.8,1.4,1.1505433499,11,1,0,0,0,11,1,1,2,1,104,2,0.4469899328,0.6658276401,0.3449637662,2.2360679775,0.0,0.4,0.9,4,3,9,4,7,3,11,3,5,8,8,1,0,0,0,0,1
0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0.2,0.1,-1.0,7,1,1,0,0,1,1,0,2,1,80,3,0.316227766,0.8279717326999999,-1.0,3.7416573868,0.9,0.4,0.0,4,0,8,3,8,3,11,6,2,1,8,0,1,1,1,0,0
0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.6,0.4,0.9313968005,11,0,-1,0,-1,6,1,1,1,1,73,3,0.4472135955,0.8349048543,0.4177319715,3.1622776602,0.8,0.3,0.5,3,2,8,2,9,2,6,6,0,1,9,0,1,1,1,0,0
0,5,3,8,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0.9,1.6,2.1299941314,9,1,1,0,1,0,1,1,2,1,104,3,0.4242640687,0.5904893614,0.3217141588,0.0,0.0,0.8,0.2,1,2,4,2,10,2,7,8,1,3,3,0,1,1,0,0,0
0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0.9,0.5,1.1570436465,7,1,-1,0,-1,4,1,1,2,1,50,2,0.4,0.7442895553,0.3943348831,3.3166247904,0.5,0.0,0.1,3,3,8,3,7,1,13,6,2,2,12,0,1,1,1,0,0
0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.7,0.2,0.5431390246,7,1,0,0,0,11,0,1,2,1,30,3,0.4469899328,0.8863053594,0.3807886553,3.0,0.6,0.1,0.9,2,2,9,2,11,4,13,5,0,4,14,0,0,1,0,1,0
0,0,1,8,0,4,1,0,0,0,0,0,0,0,0,10,1,0,0,0.9,0.4,0.8518362519,7,1,-1,0,-1,14,1,1,2,1,42,2,0.4,0.7084641751999999,0.3937003937,3.0,0.7,0.6,0.5,3,4,7,3,10,1,7,4,1,1,4,0,1,1,0,1,0
0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0.4,0.0,0.840758586,7,1,-1,0,-1,6,1,1,2,1,77,2,0.3741657387,0.8188381206,-1.0,3.6055512755,0.3,0.9,0.7,3,2,9,4,8,2,10,3,1,4,6,0,0,0,1,1,0
