1 10 2765 1 0 0 0 0 1 0 1 1 0 
2 10 1357 0 0 0 0 0 0 0 0 0 1 
3 10 11231 1 1 1 1 1 0 1 1 1 1 
4 10 14190 1 1 1 0 1 1 1 1 1 1 
5 10 10303 1 1 0 1 0 1 1 0 1 1 
6 10 9058 1 0 0 1 1 1 1 0 0 0 
7 10 10641 1 1 1 1 0 0 1 1 1 1 
8 10 10236 1 1 0 1 0 1 1 1 0 0 
9 10 4457 0 1 0 0 0 0 1 0 0 0 
10 10 6694 0 0 1 1 1 0 1 1 0 1 
11 10 2501 1 0 0 0 0 0 1 1 0 0 
12 10 5193 0 0 0 0 1 1 0 0 0 1 
13 10 6697 1 0 1 1 0 0 1 1 0 0 
14 10 11262 1 0 1 1 0 0 1 1 0 1 
15 10 5785 0 0 1 0 0 0 1 1 0 0 
16 10 2062 0 0 0 0 1 0 0 0 0 0 
17 10 11760 1 1 1 1 1 1 1 0 1 1 
18 10 7397 0 0 1 1 1 0 0 1 0 0 
19 10 4467 1 0 0 1 0 1 1 1 0 0 
20 10 10479 1 1 1 1 1 1 0 1 1 1 
21 10 0 0 0 0 0 0 0 0 0 0 0 
22 10 8291 1 0 1 1 0 0 1 0 1 1 
23 10 10670 1 1 1 0 0 1 1 0 0 1 
24 10 9254 0 0 1 1 0 1 1 1 0 1 
25 10 8569 1 1 1 0 0 1 1 1 0 1 
26 10 10707 1 1 1 0 0 1 1 1 0 1 
27 10 2992 0 1 0 0 0 1 0 0 0 0 
28 10 2245 0 0 0 0 0 0 0 0 0 1 
29 10 11541 1 1 1 1 0 0 1 1 0 1 
30 10 12815 1 1 1 1 0 0 1 1 0 1 
31 10 11287 1 1 0 1 1 1 1 1 1 1 
32 10 5411 0 0 1 0 0 1 0 1 0 0 
33 10 12388 0 1 1 1 0 1 1 1 1 1 
34 10 6959 1 1 0 1 0 1 1 1 0 1 
35 10 7161 0 1 1 0 1 1 1 1 0 1 
36 10 2058 0 0 0 0 0 1 0 1 0 0 
37 10 8012 1 0 1 1 0 0 1 1 0 0 
38 10 4667 1 1 0 0 0 0 0 1 0 0 
39 10 6113 1 0 1 1 0 1 1 1 1 1 
40 10 4997 0 0 1 1 0 0 0 1 0 1 
41 10 3157 0 0 1 0 0 0 0 0 0 1 
42 10 4903 1 0 1 1 0 1 0 0 0 0 
43 10 8400 0 1 1 1 0 1 1 1 0 1 
44 10 7636 1 0 1 1 0 1 0 1 0 0 
45 10 9939 1 1 1 1 1 0 0 1 0 0 
46 10 13003 1 1 1 0 0 1 1 1 0 1 
47 10 8697 0 1 1 1 0 1 1 1 0 1 
48 10 4117 0 0 0 0 0 1 0 0 1 0 
49 10 2727 0 0 0 0 0 1 0 1 0 0 
50 10 16793 0 1 1 1 0 1 1 1 1 1 
51 10 221 0 0 1 0 0 0 0 0 0 0 
52 10 12044 1 1 1 0 1 1 1 1 1 1 
53 10 7058 0 0 1 1 0 1 1 0 0 0 
54 10 3487 0 1 0 0 0 0 1 0 0 0 
55 10 8672 1 1 0 1 0 1 1 0 0 0 
56 10 11047 1 1 1 1 0 1 1 0 0 1 
57 10 6217 1 0 1 1 0 0 1 1 0 0 
58 10 14732 1 1 1 1 1 0 1 1 1 1 
59 10 9291 1 0 1 1 0 0 0 1 1 1 
60 10 9152 1 1 1 1 0 0 1 1 0 1 
61 10 0 0 0 0 0 0 0 0 0 0 0 
62 10 5887 1 1 1 0 0 0 0 1 0 0 
63 10 10236 1 1 1 1 0 1 0 1 0 1 
64 10 6707 1 1 1 1 0 0 1 1 1 1 
65 10 11654 1 1 1 1 0 0 1 1 1 1 
66 10 7596 1 0 0 1 0 1 1 1 0 0 
67 10 5708 1 1 1 0 0 0 0 1 0 1 
68 10 2630 0 0 0 1 0 0 1 0 0 0 
69 10 3468 0 0 1 0 0 1 1 0 0 0 
70 10 7739 1 0 1 0 1 0 1 1 0 0 
71 10 9538 1 0 0 1 0 1 1 1 0 1 
72 10 7348 1 1 1 0 0 1 1 1 0 1 
73 10 8440 1 0 1 0 0 1 1 0 1 1 
74 10 4187 0 0 1 1 0 1 0 1 0 0 
75 10 12212 1 1 1 1 0 1 1 1 0 0 
76 10 2195 0 1 1 0 0 0 0 0 1 0 
77 10 9246 1 1 0 1 0 1 1 1 0 1 
78 10 10412 1 0 1 1 1 1 1 0 1 0 
79 10 4241 0 0 0 1 1 1 1 0 0 0 
80 10 13124 1 1 1 1 1 0 1 1 0 1 
81 10 11334 1 1 1 1 0 1 0 1 1 1 
82 10 6537 0 1 1 1 0 1 0 1 0 0 
83 10 9246 1 1 0 1 1 1 1 1 0 1 
84 10 6532 1 1 0 0 0 1 1 1 0 0 
85 10 14100 1 1 1 1 0 1 1 0 0 1 
86 10 7906 1 1 1 1 0 1 1 1 1 1 
87 10 7096 1 1 1 0 0 1 1 1 0 1 
88 10 8245 0 1 0 1 1 1 1 1 0 1 
