186 40 1575 3545 1970 4018 5414 3444 2048 4018 -12 3216 2048 0 5288 -22 1396 3444 -11 3216 1168 3138 5054 6450 5282 3886 5054 3084 4480 6450 4534 3366 5414 4018 2048 3444 5414 -34 4534 3138 5054 6450 5282 1601 37 0.01331047299999999
217 40 0 25785 -1 1719 2904 1185 0 1719 2100 381 0 -11 -12 1719 -23 -22 0 25785 -1 1719 2904 1185 0 1719 2100 381 0 -11 -12 1719 -23 -22 0 25785 -1 1719 2904 1185 0 1719 2100 1601 16 0.012500975000000025
306 40 -14 1288 3189 1901 4391 6171 4270 2490 4391 -9 3350 2490 3813 1323 3628 2305 4206 5986 4085 4945 3165 2305 4085 1780 4270 6171 4391 2490 4270 -1 3350 2490 3813 1323 3628 2305 4206 5986 4085 4945 3165 1601 30 0.012899926000000228
355 40 0 3485 -4 1193 2883 1690 0 1383 -2 1193 2556 1363 0 1193 2198 1005 0 3485 -4 1193 2883 1690 0 1383 -2 1193 2556 1363 0 1193 2198 1005 0 3485 -4 1193 2883 1690 0 1383 -2 1601 16 0.012611565999999907
433 40 1068 3017 4941 3873 5691 7410 7645 5926 7088 6853 5691 5926 4108 5827 7645 5721 5486 7410 5592 6754 6989 5827 5592 3873 5691 7410 7645 5926 7088 6853 5691 5926 4108 5827 7645 5721 5486 7410 5592 6754 6989 1601 23 0.01274040799999998
500 40 -386 -14 527 2958 3636 3971 4186 3851 3636 3733 3206 5474 5809 5712 7220 6885 6207 6542 7220 4952 6285 5950 5272 5607 6285 4777 7045 6710 6032 6367 7045 5712 7220 6885 6207 6542 7220 4952 6285 5950 5272 1601 31 0.012669193000000023
583 40 0 3519 -12 948 3155 2207 2321 114 1487 1373 2321 948 1663 1777 1062 1235 1121 948 1638 690 804 114 2321 2207 3155 948 2321 1373 1487 114 1062 1777 1663 948 1638 690 804 114 2321 2207 3155 1601 33 0.01225101400000006
692 40 0 4000 -10 526 2526 2000 0 1622 -9 526 0 1175 -8 526 -8 346 0 4000 -10 526 2526 2000 0 1622 -9 526 0 1175 -8 526 -8 346 0 4000 -10 526 2526 2000 0 1622 -9 1601 16 0.011684462000000062
776 40 0 7950 -6 109 1699 2748 2639 1590 1905 2014 1699 1590 0 1049 2639 -16 1905 315 424 2014 -22 2748 2639 1590 1905 2014 1699 2748 1158 1049 2639 -16 1905 315 424 2014 -22 2748 2639 1590 1905 1601 23 0.012291419000000081
801 40 0 2980 -10 432 2277 2633 2201 1845 2719 874 1529 1961 1306 1662 1230 1339 983 1415 1306 1615 1183 874 1306 432 2277 2633 2201 1845 2719 874 1529 1961 1306 1662 1230 1339 983 1415 1306 1615 1183 1601 23 0.011916753999999807
864 40 0 1990 -14 328 0 1734 -10 328 -6 335 0 -1 -15 328 -23 -9 0 1990 -14 328 0 1734 -10 328 -6 335 0 -1 -15 328 -23 -9 0 1990 -14 328 0 1734 -10 328 -6 1601 16 0.011691657000000077
918 40 0 4867 -2 69 2496 4193 4124 2427 2496 -7 1787 3891 3822 2104 3801 3870 2173 3891 -6 3870 1766 4193 4124 2427 2496 4193 -18 3484 3415 4228 2531 2600 1787 3891 3822 2104 3801 3870 2173 3891 -6 1601 28 0.013238980999999983
1022 40 0 7054 -1 307 2639 4872 6796 8181 7874 6489 7584 7891 6796 7845 7538 6489 7268 7575 6796 7092 6785 6489 6796 8181 7874 6489 7584 7891 6796 7845 7538 6489 7268 7575 6796 7092 6785 6489 6796 8181 7874 1601 22 0.012383790999999977
