1 16 26300 4283 858 833 1292 2075 3006 3791 2840 722 1344 2175 442 2267 3297 1952 2005 2288 3999 1492 1481 1552 3282 324 1667 4353 4260 1649 2856 2262 944 857 1766
2 16 16963 2353 983 1629 1487 731 4715 225 2936 691 4161 247 2958 1755 3539 1499 430 191 3032 1288 3908 1248 1533 1285 689 1101 4334 1391 1660 3424 3840 2146 3409
3 16 21646 1302 4746 1672 1608 95 3975 3907 3211 3043 4662 2489 4637 370 2184 1641 4717 173 1007 1350 4195 2582 3879 1140 4429 1808 2764 2942 3139 567 3979 1977 494
4 16 22605 1152 313 3675 3185 2733 3980 1625 4448 1778 4592 3382 3297 1716 1713 102 3206 737 1541 2646 2148 3297 4245 337 4948 1480 2586 628 2112 2686 2167 283 3882
5 16 21179 418 828 1454 1402 877 3154 3234 335 968 2794 2335 2240 1847 1471 2360 4905 1056 617 1080 2449 895 2336 779 4950 1449 4065 1930 1279 1654 1560 4138 1124
6 16 22986 4251 2541 996 3591 53 2861 1982 1170 607 4700 1892 2498 3525 4966 3301 488 4152 1415 745 1442 920 290 125 1958 2009 1380 1 26 1065 4487 3109 1045
7 16 21589 95 1 2320 354 808 1739 1992 3865 2217 3159 523 2360 3075 4180 1178 966 2764 4418 2637 4775 1170 820 220 1137 199 763 2901 2200 2031 1049 2857 3836
8 16 15765 927 3897 400 3164 521 842 512 4251 1059 2035 1530 4488 1385 750 1015 3752 1015 4324 342 4573 3412 3552 305 4200 2028 1000 669 4299 3520 3891 1067 986
9 16 17966 373 1970 3516 3948 226 2820 109 3768 4300 2150 657 4545 2435 3753 167 3063 686 4301 2123 664 650 2307 535 1010 2748 3095 2392 1364 380 589 1161 165
10 16 22519 2164 4883 2169 4539 230 3105 346 371 2040 643 1258 1419 4332 4342 905 3681 1531 1304 2712 2575 436 1149 942 1178 3124 2529 2860 3851 2492 95 608 332
11 16 19023 137 2094 661 4736 1943 613 2682 2698 2579 284 1635 827 24 1181 2006 3259 425 4407 3143 4835 2028 402 1566 3377 3214 3872 1536 3538 154 590 46 1836
12 16 18502 46 4694 1762 41 2423 4494 4629 3100 656 2444 1183 2041 1394 1498 543 667 2351 3564 107 3880 1886 3157 350 3704 2379 2474 123 2466 2029 495 1267 3961
13 16 20625 711 1952 2349 4618 863 3408 2245 4662 3520 4826 3015 1001 20 1902 807 1641 3563 100 1043 4959 144 4181 1795 418 902 4541 863 3945 2750 1848 1192 2232
14 16 23018 3912 4708 2719 2671 1223 1965 2706 1989 87 2281 2101 893 1082 4619 833 4239 1631 2097 3540 2477 1051 1621 1815 4496 2807 403 249 261 432 3686 2585 4728
15 16 20947 649 4638 1732 4579 528 4196 1678 699 2115 1106 1322 4316 2338 4565 1486 1722 2596 374 2264 2607 1983 1490 60 4651 2570 2540 1789 3676 990 2779 2084 1794
16 16 21482 1808 4839 4064 3498 1929 4958 723 561 1231 154 2040 2773 3275 2898 1170 1908 369 2913 1102 260 2998 3178 406 3914 2312 1218 2073 121 1230 229 123 477
17 16 18809 3018 449 812 3919 1355 4036 1259 905 164 4965 13 1572 608 2787 3898 761 4062 3403 529 254 471 2711 1574 3600 751 2368 2428 980 1215 4743 1355 263
18 16 22304 601 1971 2871 1282 58 3620 2690 3977 1456 1041 1626 931 2341 3187 1786 2922 3475 3998 1438 1626 111 818 413 727 3960 1390 1653 4735 3113 2275 288 1093
19 16 16435 3506 2628 1299 1197 1734 2449 2535 3742 346 2833 1973 1514 23 815 2922 45 211 775 184 2446 943 344 312 3146 1260 1158 2894 4227 198 205 204 3156
20 16 20968 243 186 1105 1997 3498 1279 661 202 2538 782 606 3456 3169 4696 411 2707 804 911 1695 2432 1319 981 2943 4417 3262 4663 416 2761 2583 253 958 2031
21 16 24481 2736 659 4039 1299 572 758 1812 2485 1450 3118 93 4030 1399 1271 1752 1251 2929 2784 3012 73 936 3180 1578 501 3929 1145 371 1416 2867 4703 1127 1842
22 16 20638 2969 2452 1238 2918 881 1908 1371 2362 1282 2243 1295 1746 469 4704 1150 159 512 3796 1693 1003 3002 4196 2954 2346 111 3825 4248 3583 2313 4616 310 116
23 16 23940 3722 4986 628 792 3168 216 690 2149 1190 4242 2875 1835 3351 32 1736 1704 885 3253 3303 1605 1018 1222 3134 1293 513 110 1801 2472 472 1847 1440 3889
24 16 21706 3314 495 146 4119 1688 325 483 3733 875 1338 680 308 184 29 484 2553 1300 225 2822 3185 2120 252 1928 2889 2215 4214 1674 795 3138 4805 4082 1080
25 16 27967 660 4470 2016 930 4582 2277 4110 2578 427 1508 2359 910 2686 2667 2836 3424 2251 2720 4730 730 601 292 1010 4449 2315 4793 1631 159 675 1468 2070 3810
26 16 19398 3494 1282 322 4809 1968 4197 1467 3128 2190 4163 955 1161 1791 389 975 1125 351 527 1338 1707 3610 2309 1661 2149 2073 1293 98 1644 794 2827 1161 2819
27 16 21731 3200 2743 854 2276 1249 602 605 4670 930 1009 2078 1575 2872 4064 2156 3543 613 1368 1290 3401 2674 2519 3067 3730 1029 4 716 2589 1222 4718 2609 749
28 16 18855 1524 281 553 184 1622 438 1359 4724 2362 883 2213 3096 244 4320 2889 3117 710 3467 1559 241 1026 747 1411 1681 582 4865 1912 525 3523 2565 80 1932
29 16 27536 3359 3108 4122 2207 619 2556 1653 2525 2496 2413 3202 1801 3338 4979 2538 4589 949 4217 1185 1880 1456 2927 1433 1084 1036 2844 736 4271 3114 4595 3184 2711
30 16 21624 1434 3232 2509 417 2854 609 22 3574 1651 4439 523 503 487 4977 48 2602 3213 1727 2612 4512 712 1075 2850 4104 3977 2434 183 1068 1300 4090 2656 1230
31 16 22562 563 2995 1819 3250 2985 3585 1814 1602 2877 2675 3619 443 93 3896 127 3446 1159 3554 2615 4115 712 1980 1326 3262 3132 2855 709 1750 273 1155 4380 1795
32 16 20558 261 4950 968 2221 17 1193 1461 85 4458 4787 2391 4399 746 4969 101 4302 1195 1284 915 882 2210 1327 1766 580 2199 4671 3627 4451 1849 3859 1534 4523
33 16 29178 1138 1907 2243 3081 1325 721 492 3408 2018 2712 1104 2353 3904 2371 2120 1681 4393 766 2046 504 3444 2510 2829 772 4387 2042 2839 3913 1699 1374 492 1795
34 16 15572 288 3202 590 1886 2044 3381 992 4863 411 820 1023 2295 432 44 1578 4987 1626 876 1220 4715 55 710 3247 4177 1927 2342 31 4497 2605 1650 1396 3541
35 16 26747 279 4155 1089 1161 146 1471 3700 4798 2584 1355 2623 4535 2586 3118 930 3097 631 2202 3680 3177 17 4745 4672 512 4586 4494 4432 3302 929 1332 550 3328
36 16 23864 2215 2697 3244 2054 333 530 1526 4314 999 3714 200 3513 3422 273 3605 1401 1295 4854 238 2120 3503 3592 835 4428 1652 730 3556 2536 472 3184 2736 3847
37 16 19994 638 3866 180 2501 3175 2678 299 3352 3031 3815 191 926 4259 197 3583 580 180 3206 2491 30 1233 4281 1055 1046 330 670 299 4515 2987 3875 1062 670
38 16 18678 1007 2681 2570 191 3032 332 481 616 1513 3083 3568 4732 22 3139 963 2888 1206 4442 354 4044 819 398 1860 1796 2177 73 2471 3585 234 112 1071 3674
39 16 26636 2587 2749 2384 1491 4183 4659 1686 501 1524 3800 3871 732 3087 2206 1373 1992 2209 1552 596 487 2187 3074 1101 2292 3067 1547 1739 1151 1501 577 201 400
40 16 22144 633 2922 2698 3950 2996 696 249 415 1762 2592 673 3612 3383 800 1355 1708 2552 3220 1270 1640 3088 4779 211 2355 1803 1975 997 3711 1534 11 2476 3074
